+	己	性	忠	乐	恕	生	义	学	文	小人	圣	贫	耻	孝	国	死	艺	达	亲	父	天	让	信	勇	行	宽	俭	君	恭	道	臣	爱	惠	神	弟	鬼	正	知	政	利	敏	言	德	命	敬	天命	民	贤	家	友	直	人	仁	诗	思	节	君子	礼	富	邦
己	0	0	2	0	1	0	1	2	0	2	1	0	1	1	0	1	0	1	0	0	1	0	4	0	3	0	0	2	2	2	0	0	1	0	1	0	1	5	1	0	2	5	0	1	2	0	4	0	1	2	0	13	4	0	0	0	6	1	0	1
性	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
忠	2	0	0	0	1	1	2	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	7	0	3	0	0	1	2	2	1	2	0	0	0	0	0	1	2	0	0	2	1	0	4	0	1	0	0	4	0	3	2	0	1	0	2	1	1	2
乐	0	0	0	0	0	2	3	2	1	0	0	1	0	0	2	1	1	0	0	1	2	1	1	2	4	0	0	1	0	2	2	1	0	0	0	0	2	12	2	3	0	6	0	2	0	0	2	2	1	1	0	13	4	2	1	1	5	11	2	4
恕	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
生	0	0	1	2	0	0	2	1	1	0	0	0	0	3	0	5	1	0	0	1	5	0	1	1	4	0	0	1	2	2	0	2	0	1	3	1	1	6	0	1	1	3	2	4	1	0	1	1	1	0	1	6	3	0	1	0	4	4	2	1
义	1	0	2	3	0	2	0	2	1	3	0	0	1	0	0	1	1	2	1	0	1	0	5	3	6	0	0	1	3	3	1	1	1	1	0	2	0	3	0	2	0	6	2	2	5	0	3	0	1	0	1	5	2	0	3	1	7	4	2	1
学	2	0	2	2	0	1	2	0	6	3	1	2	2	1	1	3	0	1	1	2	2	1	7	2	4	0	0	2	0	7	0	2	0	0	5	0	2	7	1	0	2	8	2	2	1	1	4	2	0	2	1	9	4	2	3	0	10	5	1	2
文	0	1	1	1	0	1	1	6	0	1	0	1	1	1	1	1	1	0	1	0	3	0	2	1	4	0	0	1	0	2	2	1	0	0	1	0	0	1	1	1	1	5	2	1	0	0	1	1	1	1	0	7	2	0	1	0	6	5	0	1
小人	2	0	0	0	0	0	3	3	1	0	1	0	1	1	0	0	0	1	0	0	0	0	2	1	2	0	0	1	0	3	0	1	1	0	1	0	0	2	2	1	0	3	2	1	1	1	2	0	0	0	0	6	1	0	0	0	18	1	0	0
圣	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	0	0	0	2	0	0	0	1	1	0	0	0	0	5	2	0	0	0	4	0	0	0
贫	0	0	0	1	0	0	0	2	1	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	0	0	3	2	1	0	0	3	1	4	2
耻	1	0	0	0	0	0	1	2	1	1	0	1	0	1	0	1	0	0	1	0	1	0	3	0	2	0	0	1	2	5	0	0	0	0	1	0	0	0	2	0	1	5	1	1	0	0	1	0	0	1	0	2	0	0	0	0	1	2	1	2
孝	1	0	1	0	0	3	0	1	1	1	0	0	1	0	0	1	0	0	1	5	0	0	2	0	3	0	0	1	0	3	1	1	0	1	6	1	0	0	3	0	0	2	0	1	2	0	1	0	0	1	0	3	2	0	0	0	1	1	0	0
国	0	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	2	2	2	1	1	1	0	0	0	2	3	1	0	0	0	0	0	2	2	0	1	3	1	2	1	0	3	0	2	0	0	5	2	0	0	1	2	3	1	2
死	1	0	1	1	0	5	1	3	1	0	0	1	1	1	0	0	0	0	0	1	8	0	4	0	5	0	0	0	2	6	1	1	0	1	4	1	1	3	1	0	0	3	3	3	1	0	4	1	1	1	0	8	5	0	0	0	4	2	3	2
艺	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0
达	1	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	1	0	0	1	2	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	2	3	1	0	2	0	0	0	0	1	0	1	0	2	6	3	1	0	0	1	0	1	2
亲	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	3	1	2	1	0	0	2	0	2	1	0	0	1	0	1	0	1	0	1	3	1	1	0	0	2	0	0	0	1	4	3	0	0	0	3	2	1	0
父	0	0	0	1	0	1	0	2	0	0	0	0	0	5	0	1	0	1	0	0	1	0	2	0	2	0	0	4	0	4	3	1	0	0	1	0	0	1	3	1	0	2	0	0	1	0	0	1	0	1	2	4	1	1	0	0	1	1	0	1
天	1	1	0	2	0	5	1	2	3	0	1	1	1	0	2	8	1	2	1	1	0	1	3	0	6	2	0	1	3	7	4	2	1	0	1	0	0	7	2	0	3	5	4	3	1	0	4	1	2	0	1	12	6	0	0	0	8	4	4	2
让	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	2	0	0	0	0	2	1	0	0	0	2	2	0	2
信	4	0	7	1	0	1	5	7	2	2	0	1	3	2	2	4	0	0	3	2	3	0	0	1	9	2	0	4	2	4	2	3	1	0	2	0	1	3	4	0	2	9	2	2	3	0	5	2	0	5	2	9	4	0	0	1	4	3	3	2
勇	0	0	0	2	0	1	3	2	1	1	0	1	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	1	2	0	0	0	0	0	1	0	6	0	1	0	4	1	1	0	0	2	0	0	0	3	4	6	0	1	0	5	4	0	1
行	3	0	3	4	1	4	6	4	4	2	0	0	2	3	1	5	0	2	2	2	6	0	9	1	0	2	0	3	3	12	3	1	2	0	2	0	3	7	5	1	3	19	1	6	3	0	6	1	2	0	2	19	5	0	1	2	10	3	1	5
宽	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	2	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	2	0	0	1	1	0	1	0	0	0	0	2	2	0	0	0	0	1	1	0
俭	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	2
君	2	0	1	1	0	1	1	2	1	1	0	0	1	1	0	0	0	0	0	4	1	0	4	0	3	0	1	0	0	2	5	0	0	0	1	0	1	4	2	0	0	5	0	3	1	0	1	1	0	2	0	7	0	1	0	1	2	4	0	3
