Label,id
力,力
辟,辟
己,己
病,病
忧,忧
益,益
欲,欲
性,性
忠,忠
志,志
众,众
患,患
博,博
修,修
安,安
乐,乐
视,视
宗,宗
变,变
劳,劳
恕,恕
生,生
义,义
谋,谋
施,施
谷,谷
学,学
观,观
文,文
小人,小人
祭,祭
惧,惧
圣,圣
相,相
失,失
畏,畏
用,用
贫,贫
衣,衣
耻,耻
孝,孝
听,听
名,名
佞,佞
庙,庙
笃,笃
气,气
国,国
老,老
辱,辱
世,世
死,死
同,同
艺,艺
达,达
和,和
居,居
亲,亲
易,易
骄,骄
丧,丧
父,父
反,反
中,中
天,天
危,危
让,让
信,信
勇,勇
器,器
行,行
乡,乡
宽,宽
加,加
俭,俭
游,游
士,士
惑,惑
君,君
恭,恭
隐,隐
色,色
识,识
乱,乱
哀,哀
道,道
怀,怀
臣,臣
服,服
心,心
爱,爱
伐,伐
惠,惠
神,神
身,身
弟,弟
内,内
慎,慎
进,进
鬼,鬼
异,异
正,正
古,古
室,室
罪,罪
愚,愚
党,党
知,知
损,损
容,容
明,明
政,政
兴,兴
利,利
敏,敏
言,言
贵,贵
退,退
才,才
治,治
善,善
位,位
德,德
命,命
敬,敬
天命,天命
泰,泰
难,难
狂,狂
民,民
免,免
近,近
蔽,蔽
宰,宰
教,教
贤,贤
辞,辞
杀,杀
兄,兄
得,得
朝,朝
亡,亡
质,质
家,家
废,废
友,友
仕,仕
直,直
长,长
人,人
美,美
归,归
简,简
荡,荡
仁,仁
止,止
过,过
诗,诗
孙,孙
怨,怨
思,思
节,节
食,食
君子,君子
礼,礼
富,富
邦,邦
